2014-12-15 19:45:12	--LOG DE EJECUCION--
2014-12-15 19:45:12	Ejecutando contenido
2014-12-15 19:45:20	--------------------
2014-12-16 01:20:21	Ejecutando contenido
2014-12-16 01:20:24	--------------------
2014-12-16 01:50:30	Ejecutando contenido
2014-12-16 01:50:32	--------------------
2014-12-16 01:51:37	Ejecutando activa
2014-12-16 01:52:37	SQLException	Duplicate entry '1052' for key 'PRIMARY'
2014-12-16 01:52:37	SQLException	Duplicate entry '3098' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '3727' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '1057' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '1057' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '1057' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '1057' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '1070' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '1068' for key 'PRIMARY'
2014-12-16 01:52:38	SQLException	Duplicate entry '1068' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '1068' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '1068' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '1068' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '1101' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '1101' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '1078' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '1083' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '3103' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '3103' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '3103' for key 'PRIMARY'
2014-12-16 01:52:39	SQLException	Duplicate entry '3103' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '1089' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '3461' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '1107' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '1107' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '1107' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '1107' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '1107' for key 'PRIMARY'
2014-12-16 01:52:40	SQLException	Duplicate entry '1107' for key 'PRIMARY'
